year,type,count,calfCount,utmX,utmY
1989,OB,1.00,0.00,329039.29,7357446.60
1989,BB,2.00,0.00,329050.20,7356527.42
1989,OB,1.00,0.00,332422.11,7358184.13
1989,BB,7.00,0.00,333066.36,7357959.02
1989,BB,12.00,0.00,332010.56,7356794.86
1989,BB,6.00,0.00,334973.29,7357748.40
1989,BB,15.00,0.00,334553.49,7357056.89
1989,OB,4.00,0.00,335821.13,7357525.50
1989,BB,6.00,0.00,337008.05,7347161.11
1989,BB,5.00,0.00,342490.18,7349293.48
1989,BB,1.00,0.00,345454.26,7350023.44
1989,BB,2.00,0.00,344587.15,7352085.15
1989,BB,16.00,0.00,342396.62,7357831.54
1989,BB,3.00,0.00,343445.64,7358762.22
1989,BB,4.00,0.00,344305.95,7358317.46
1989,BB,3.00,0.00,344112.12,7356465.80
1989,BB,10.00,0.00,344117.16,7356000.70
1989,BB,2.00,0.00,343063.24,7355535.16
1989,BB,2.00,0.00,343920.77,7354392.66
1989,BB,5.00,0.00,345193.30,7354406.41
1989,BB,11.00,0.00,344992.05,7353241.35
1989,BB,3.00,0.00,346053.08,7353031.25
1989,BB,4.00,0.00,346463.47,7354641.53
1989,BB,3.00,0.00,346456.02,7355339.18
1989,BB,3.00,0.00,346446.21,7356258.31
1989,BB,5.00,0.00,348768.00,7357213.19
1989,BB,6.00,0.00,349003.66,7355133.57
1989,OB,3.00,0.00,350468.40,7357230.95
1989,OB,1.00,0.00,350939.08,7353082.74
1989,OB,3.00,0.00,351995.42,7353315.16
1989,BB,10.00,0.00,348874.84,7347058.51
1989,OB,1.00,0.00,353105.94,7348254.27
1989,OB,2.00,0.00,354695.75,7359112.62
1989,BB,2.00,0.00,354286.65,7357270.09
1989,BB,2.00,0.00,354726.02,7356111.69
1989,OB,1.00,0.00,357688.70,7356141.29
1989,OB,1.00,0.00,360042.55,7353860.88
1989,OB,1.00,0.00,357970.91,7349222.45
1989,BB,6.00,0.00,359038.26,7348313.79
